methods,ccp,es,fr,nl,us
DESCM_Embedding_DA_1_1,0.553,0.65,0.617,0.59,0.647
DESCM_Embedding_DA_1_1_Base,0.673,0.805,0.802,0.768,0.798
DESCM_Embedding_DA_2_1,0.652,0.746,0.765,0.718,0.732
