methods,ccp,es,fr,nl,us
DESCM_Embedding_DA_1_1,0.621,0.719,0.715,0.715,0.702
DESCM_Embedding_DA_1_1_Base,0.62,0.718,0.712,0.717,0.7
DESCM_Embedding_DA_2_1,0.621,0.721,0.716,0.719,0.698
